Top1,Top1Summ1,Top1Summ2,Top1Keystone,Top1Xp,Top1Gold,Top2,Top2Summ1,Top2Summ2,Top2Keystone,Top2Xp,Top2Gold,Jungle1,Jungle1Summ1,Jungle1Summ2,Jungle1Keystone,Jungle1Xp,Jungle1Gold,Jungle2,Jungle2Summ1,Jungle2Summ2,Jungle2Keystone,Jungle2Xp,Jungle2Gold,Mid1,Mid1Summ1,Mid1Summ2,Mid1Keystone,Mid1Xp,Mid1Gold,Mid2,Mid2Summ1,Mid2Summ2,Mid2Keystone,Mid2Xp,Mid2Gold,Ad1,Ad1Summ1,Ad1Summ2,Ad1Keystone,Ad1Xp,Ad1Gold,Ad2,Ad2Summ1,Ad2Summ2,Ad2Keystone,Ad2Xp,Ad2Gold,Supp1,Supp1Summ1,Supp1Summ2,Supp1Keystone,Supp1Xp,Supp1Gold,Supp2,Supp2Summ1,Supp2Summ2,Supp2Keystone,Supp2Xp,Supp2Gold
10,4,12,8005,384.1,261,114,4,12,8010,378.9,240.1,77,11,4,8010,378.1,400.2,120,11,6,8010,392,324.6,131,14,4,8112,500.09999999999997,319.9,74,4,12,8229,462.9,220.70000000000002,22,7,4,8008,316.8,346,81,4,12,8010,310.2,284.5,147,14,4,8229,257.6,330.4,350,7,3,8229,312.9,223.5
41,12,4,8437,480.2,302.3,122,6,4,8010,490,315.29999999999995,60,4,11,8112,389.70000000000005,328.4,77,11,4,8010,377.8,377.9,131,4,14,8230,445.1,331.79999999999995,4,12,4,8112,423.70000000000005,268.2,145,7,4,9923,308.6,302.6,235,4,7,8351,282.5,292.1,57,14,4,8214,268.3,271.2,267,4,14,8214,262,178.8
106,12,4,8008,368.20000000000005,222.3,24,12,4,8010,601.9,408.1,11,6,11,9923,418.29999999999995,339.4,32,11,4,8439,314.6,252.20000000000002,517,4,14,8021,432.8,258.2,105,4,14,8112,465.29999999999995,265.8,51,11,4,8021,299.1,230.2,145,4,7,9923,327.29999999999995,369.4,53,4,14,8465,228.8,149.9,44,4,14,8465,302,184.3
82,4,12,8010,433.9,260.2,14,4,12,8437,507.2,249.8,120,6,11,8230,382.1,354.3,80,4,11,8005,273.29999999999995,296,106,14,4,8124,364.2,244.39999999999998,516,4,14,8437,432,312.8,202,4,7,8128,271.3,266.7,50,4,7,8010,294.5,289.7,111,4,14,8439,268.5,213.9,89,4,3,8439,285.9,274.8
266,12,4,8010,439.8,291.1,54,4,12,8229,434.3,223,141,4,11,8128,396,342.5,11,4,11,8128,323.6,247.5,84,14,4,8112,386.70000000000005,199.10000000000002,55,4,14,8010,485,294.3,202,4,7,8128,351,340.9,21,4,7,8128,299.3,205.1,25,4,14,8214,336,245.8,99,14,4,8229,226.7,141.2
86,4,14,8010,491.6,270.8,17,4,14,8112,367.79999999999995,188.39999999999998,19,11,4,8005,248.4,210.7,33,11,4,8439,332.9,275.1,25,14,4,8214,466.5,206.4,92,4,14,8010,391.9,242.70000000000002,498,4,7,8008,282.5,294.2,29,7,4,9923,228.39999999999998,188.7,161,4,14,8229,267.6,267.1,350,4,3,8214,216.5,143.8
19,4,12,8437,396.2,242.2,17,14,4,8214,357.7,266.3,254,11,4,9923,320.3,308.2,154,4,11,8439,251.1,217.5,777,14,4,8021,506.7,371.2,236,14,4,8005,324,177.3,81,4,7,8010,311.1,317.4,202,4,7,8128,298,248.8,99,4,14,8229,342.5,222.4,412,4,14,8465,263.2,182.5
164,4,12,8010,527,343.7,80,4,12,8010,415.1,207.5,2,4,11,8010,370.4,316.1,120,6,11,8230,400.5,373.3,238,4,14,8112,394.20000000000005,250.7,245,4,14,8112,450.1,300.1,145,4,7,9923,258,206.1,21,7,4,8229,334.7,419.9,117,3,4,8465,227.60000000000002,160.3,267,3,4,8214,234.39999999999998,267.79999999999995
427,4,12,8214,503.29999999999995,355.2,875,4,12,8010,451.5,276.9,107,11,4,8010,272.7,243.8,64,11,4,8112,263.70000000000005,250.4,50,14,4,8112,396.9,196.8,99,4,14,8229,519.4,330.5,22,7,4,8229,227.5,201.3,236,4,7,8005,321.1,333.5,53,4,14,8439,286.5,219,63,4,14,8128,328.7,396.9
150,4,12,8437,415.20000000000005,263.70000000000005,122,4,6,8010,418.6,259.3,121,4,11,8128,341.7,328,20,4,11,8230,305.2,282.29999999999995,245,14,4,8112,405.1,256.2,80,4,14,8010,408.9,333.5,202,4,7,8128,263.4,235.60000000000002,222,4,7,8008,291.3,279.7,99,14,4,8229,293.5,239.6,518,4,14,8112,233.9,218.8
54,4,12,8437,378.8,241.1,68,14,4,8229,444.29999999999995,289.4,141,11,4,8010,476.9,426.40000000000003,113,4,11,8439,389.5,331.5,55,14,4,8010,436,339.2,39,4,14,8010,368.6,265.1,81,4,7,8010,302,248.2,236,7,4,8005,302.4,421.7,40,14,4,8214,282.9,211.1,101,4,14,8128,318.9,273.6
420,12,4,8010,425.29999999999995,292.6,58,14,4,8005,477.9,350.5,20,11,4,8230,316,309.7,121,11,4,8010,317,323.6,238,4,14,8112,474.3,346.2,68,14,4,8112,404.9,245.1,22,1,4,8008,282.4,292.9,202,4,7,8128,268.4,218.39999999999998,12,14,4,8230,320.5,191,147,14,4,8214,269,171.2
777,4,12,8010,499.29999999999995,343.29999999999995,98,12,4,8437,390.6,213.6,19,11,4,8005,327.2,331.2,120,14,11,8010,401,313.3,105,14,4,8112,417.70000000000005,204.6,99,4,14,8112,506.1,284.8,81,4,7,8010,350.3,219.9,202,4,7,8128,319,301.8,25,14,4,8229,217.3,210.9,89,14,4,8439,220.89999999999998,225.4
150,4,21,8005,499.29999999999995,309.5,114,12,4,8010,448.4,265.79999999999995,32,11,4,8439,340.70000000000005,272.8,120,6,11,8010,261,223.60000000000002,7,14,4,8112,375.1,221.89999999999998,147,4,14,8128,484.20000000000005,362,202,7,4,8021,323.8,281.29999999999995,360,7,4,8010,276.2,242.2,350,3,14,8214,216.7,159.8,53,4,3,8439,255.2,161.2
14,4,12,8437,545.6,276.2,420,12,4,8010,450.20000000000005,248,11,4,11,8010,328.6,320.8,19,4,11,8005,239.9,285.70000000000005,101,21,4,8229,377.9,205.8,115,21,4,8229,366.4,235.4,202,7,4,8128,257.6,225.3,25,14,4,8128,288.7,302.4,63,4,3,8128,198.2,227.4,99,4,7,8128,203.1,196.3
777,4,12,8010,375.9,216.5,10,12,4,8005,557.1,405.5,11,11,4,8010,251.8,217.89999999999998,64,11,4,8010,265.7,268.9,45,4,12,8229,434.9,222.89999999999998,61,4,1,8230,491.5,297.9,222,7,4,8008,319.1,255.5,67,7,4,8005,302.5,268.8,89,4,14,8439,291.9,165,111,14,4,8439,299.5,164.10000000000002
23,14,4,8010,427.6,211.5,85,4,12,8214,529.5,267.2,56,11,4,8008,331.79999999999995,268.5,54,11,4,8124,277.5,229.39999999999998,143,4,14,8112,467.9,270.1,34,14,4,8229,407.79999999999995,220.1,202,7,4,8128,293.6,220.60000000000002,236,4,7,8005,281.7,234.7,37,3,4,8214,251.39999999999998,161.5,267,3,4,8214,269.6,140.9
84,12,4,8010,448.9,244,82,14,4,8010,461.2,238,9,11,4,8112,402.70000000000005,323.2,11,11,4,8010,259.9,224.7,517,4,12,8010,397.8,271.8,45,4,21,8112,474.7,285.6,110,4,7,8229,351.4,249.7,21,4,7,8128,320.7,270.6,63,4,14,8128,263.1,199.79999999999998,115,14,4,8229,227.2,192.5
54,12,4,8437,485.79999999999995,272.1,62,4,12,8010,411.6,267.8,64,11,4,8010,380.9,434.40000000000003,2,4,11,8010,336.20000000000005,281.8,34,4,12,8112,395.70000000000005,200.89999999999998,55,14,4,8010,454.29999999999995,292.9,236,7,4,8005,277.2,267.1,81,4,7,8010,305.6,259.3,412,4,14,8465,325.7,281,235,4,3,8351,251.79999999999998,275.4
1,12,4,8229,414.20000000000005,243.3,90,12,4,8214,428.9,217.1,121,4,11,8112,306,259.4,141,11,4,8010,273.1,258.2,58,12,4,8010,490.79999999999995,313.9,245,4,14,8112,361.79999999999995,175.8,21,7,4,8128,298.6,352.1,81,7,4,8010,310.7,230.10000000000002,143,14,4,8229,307.8,218.2,57,4,14,8229,252.5,222.9
133,4,14,8005,427.29999999999995,256.9,75,4,12,8437,455.5,257.4,64,11,4,8010,268.9,245.3,254,4,11,9923,284.6,240,115,12,4,8229,473.2,338.2,84,14,4,8021,478.2,273.1,51,4,7,8021,295.2,257.1,202,4,7,8128,371.20000000000005,406.2,43,4,14,8229,274.2,228.9,29,4,14,9923,288.9,253.2
80,12,4,8010,425.5,251.8,114,4,14,8437,433.90000000000003,257.2,20,11,4,8230,296,275.9,876,11,4,8128,318.6,265.5,55,14,4,8010,459.5,287.2,147,12,4,8229,408.9,194.39999999999998,21,7,4,8128,430.7,174.8,18,4,7,9923,339.1,312.7,50,14,4,8112,0,100,117,14,4,8465,266.6,197.29999999999998
54,12,4,8229,325.6,162.3,58,14,4,8005,492,458,141,4,11,8010,404.9,343.1,245,4,11,8128,403.4,360.6,55,14,4,8010,272.8,235.9,39,4,14,8010,484.3,441.6,147,12,4,8214,310.6,246.3,22,7,4,8229,314.2,255.7,14,4,3,8439,285.7,215.2,25,14,4,8229,249.79999999999998,197.2
875,4,12,8010,463.9,274.2,62,14,4,8010,411.70000000000005,239.2,64,4,11,8010,340.1,294.7,104,11,4,8230,303.1,276.70000000000005,84,4,12,8021,454,277,90,4,14,8214,434.4,221.60000000000002,236,4,3,8005,295.3,284.8,202,4,7,8128,271,245.7,267,14,4,8214,321.3,213.2,53,14,4,8439,259,205.29999999999998
19,4,14,8437,413.6,261.3,14,4,12,8437,502.1,297.9,11,4,11,9923,377,290.9,164,11,4,8005,274.6,224.60000000000002,13,4,12,8230,408.8,238.10000000000002,105,4,14,8112,367.5,191.6,21,4,7,8128,315.3,207.39999999999998,202,7,4,8128,311.4,232.89999999999998,89,4,14,8439,215.89999999999998,142.7,40,14,4,8214,248.8,189
58,12,4,8010,516.2,339.5,2,12,4,8010,440.6,251.1,102,11,4,8010,346.70000000000005,288.3,11,11,4,9923,376.2,295.1,105,14,4,8112,404.9,254.10000000000002,157,4,3,8010,422.09999999999997,224.7,22,7,4,8008,305.9,326.3,51,4,7,8021,266.8,319.70000000000005,25,14,4,8112,316.6,331.4,63,4,14,8128,275.8,247.1
236,4,3,8005,446.4,301.79999999999995,114,4,14,8010,368.7,232.9,32,11,4,8112,240.70000000000002,252,427,11,4,8214,291.6,243,69,4,21,8010,499.4,338.1,105,4,14,8112,351.4,275,202,4,7,8128,265.6,241.8,498,4,7,8008,236.1,307.4,555,4,14,8439,211.5,118.5,412,14,4,8439,254.1,256.5
17,14,4,8214,485.70000000000005,285.5,266,4,12,8010,376.9,235.5,254,11,4,8112,307.8,250.9,102,11,4,8230,441,368.1,238,14,4,8112,440.1,279.5,84,4,14,8021,413.1,267,145,4,7,9923,276.9,286.6,67,7,4,8005,326.1,314.2,50,4,14,8010,336.70000000000005,228.2,63,14,4,8128,298.2,258.4
777,4,12,8010,382.2,250.9,240,12,4,8010,564.3,369.9,102,4,11,8128,441.1,342.1,254,4,11,9923,349.1,333.6,238,4,14,8112,384.6,246.8,13,12,4,8230,426.5,257.8,429,4,7,9923,354.7,444.90000000000003,81,4,7,8010,308.3,242.9,555,14,4,8439,299.6,239.6,432,4,14,8112,282.3,252.5
17,14,4,8437,558.8,412,777,12,4,8021,411.4,306.8,77,4,11,8010,439.40000000000003,322.3,104,4,11,8230,449.8,340.1,55,4,14,8128,362.4,265.2,131,4,14,8010,431.8,318.7,222,4,7,8008,284.5,215.5,81,7,4,8005,298.8,245.2,147,4,14,8229,242.10000000000002,152.6,29,14,4,9923,264.1,233.9
98,12,4,8437,404,226.3,875,12,4,8021,458.29999999999995,268.1,64,4,11,8010,273.5,258,56,4,11,8008,345.4,292.7,103,4,14,8112,441.7,253.5,105,4,14,8112,421.9,223.8,67,4,7,8005,256.7,209.39999999999998,145,7,4,9923,303.5,246.39999999999998,79,14,4,8439,259.4,134.3,432,4,14,8465,305.1,162.7
36,12,4,8437,418.2,215.6,98,12,4,8005,433.2,231.8,245,11,4,8128,274.3,220.2,131,11,4,8010,275,206.6,103,4,14,8112,498.3,209.7,79,14,4,8112,405.1,204.2,21,7,4,8229,350.1,387.7,201,3,4,8437,228.5,149.4,22,14,4,8005,186,151.5,412,14,4,8439,284.1,260.4
74,4,12,8229,480.4,246.9,240,12,4,8437,441.8,254.20000000000002,20,4,11,8230,224.39999999999998,213.79999999999998,56,11,4,8010,364.6,322.8,245,14,4,8112,397,244.60000000000002,38,4,14,8112,436.2,236.5,119,7,4,8005,288,382.1,21,4,7,8229,280.29999999999995,288.4,147,4,14,8229,323.4,194.1,350,3,14,8214,322.2,212.2
106,4,12,8005,489.5,321.9,98,4,12,8437,523.5,280.1,25,11,4,8128,294.4,225.3,35,11,14,9923,411.8,313.79999999999995,7,4,14,8112,354.1,201.5,80,4,14,8005,485.8,359.20000000000005,21,4,7,8005,266.6,281.5,67,7,4,8005,289.1,271.70000000000005,111,4,14,8439,292.1,215.5,350,14,3,8229,285.7,214.79999999999998
31,12,4,8437,426.3,192,114,12,4,8437,469.5,321.6,11,14,11,8128,311.6,235.7,141,4,11,8010,492.29999999999995,417.6,39,4,3,8005,459.8,362.9,68,4,14,8112,334.8,254.60000000000002,777,4,3,8010,302.5,298.7,67,4,7,8005,273.8,253.8,267,14,4,8214,254.60000000000002,197.7,53,14,4,8439,269.3,171.6
31,12,4,8437,431.6,207.7,17,12,4,8437,467.4,278.1,35,11,14,9923,281.4,220.10000000000002,64,11,4,8010,286.5,227.8,105,4,14,8112,412.1,267.2,38,4,12,8112,414.9,277.8,236,4,7,8005,320.9,357,22,4,7,8008,278.1,198.3,555,14,4,9923,332.1,433.8,147,3,4,8112,169.3,138.7
133,4,14,8005,267.5,184.9,203,14,4,8005,508.1,424.29999999999995,876,11,4,8229,265.9,267.1,64,14,4,8360,492.40000000000003,348.59999999999997,238,14,4,8112,350.9,316.29999999999995,202,4,7,8128,290.9,271.9,119,7,4,9923,193.8,176.8,36,11,4,8005,0,100,875,14,4,8230,322.5,335.2,235,14,4,8005,313.20000000000005,266.4
82,12,4,8010,452.5,330.7,17,14,4,8437,408.1,275.8,254,11,4,9923,378.1,303.9,2,4,11,8010,389.4,338.9,80,4,14,8010,436.70000000000005,340.3,31,4,12,8437,363.3,280.8,22,7,4,8008,290.6,261.6,145,4,7,9923,305.2,305.4,44,4,14,8465,266.1,207.8,29,14,4,9923,208,214.79999999999998
83,4,12,8010,507.9,356.9,164,12,14,8437,469.9,269.9,72,11,4,8230,225.60000000000002,280.2,421,4,11,8010,366.4,335.2,4,4,14,8112,434.6,330,517,4,14,8021,339.5,293.8,51,4,7,8021,283.3,301.8,145,1,4,9923,328.5,337.5,22,4,14,8229,182.8,298,161,4,7,8229,303.1,327.2
240,14,4,8005,343.29999999999995,164.6,420,4,3,8010,533.5,358.7,32,11,4,8010,247.5,220.60000000000002,62,11,14,8010,310.7,254.6,31,4,21,8229,355.6,178.5,7,4,14,8112,566.5999999999999,366.5,236,7,4,8005,283.6,235.5,51,7,4,8021,259.5,213.8,161,3,4,8230,227.5,171.2,22,4,14,8229,252.9,142.7
240,4,12,8437,384.2,249.5,245,12,4,8437,400,216.3,56,4,11,8008,300.9,254.10000000000002,131,11,4,8112,239.89999999999998,258.8,90,4,14,8214,369.3,236.6,115,4,12,8229,404.5,210.1,45,4,12,8229,350.4,319.8,81,7,4,8010,298.1,238.8,3,14,4,8439,242.89999999999998,279.5,54,4,3,8229,221.5,247.8
141,4,14,8010,435.4,262.8,78,12,4,8439,450.79999999999995,242.3,203,4,11,8005,304.1,259.6,59,11,4,8010,361.6,435.3,99,21,4,8229,485.5,304.3,147,21,4,8214,438,277.1,21,3,4,8128,315.5,486.9,202,4,7,8128,220.3,200,111,14,4,8465,290.8,312.8,50,4,14,8112,219.6,284.2
54,4,12,8229,403,210.3,31,12,4,8437,381.29999999999995,215.7,24,4,11,8010,367.3,316.2,86,11,6,8124,388.4,322.5,517,14,4,8010,449.8,278.3,84,4,14,8112,417.5,250.7,67,4,7,8005,295,253.9,145,4,7,9923,326.2,313.4,267,4,14,8214,306.5,186.2,99,14,4,8128,257,168.8
120,14,12,8010,476.2,309.8,154,12,4,8439,402.5,184.39999999999998,427,4,11,8214,354.4,305.2,78,11,4,8128,314.3,282.4,45,12,4,8229,450,288,8,14,4,8128,482.29999999999995,363.70000000000005,145,4,7,9923,294.29999999999995,334.2,18,7,4,9923,376.6,333,432,4,14,8112,265.5,237,37,14,4,8214,215.1,223.8
98,4,14,8437,408,211.10000000000002,86,12,4,8010,461.29999999999995,255.9,32,4,11,8010,390.4,276.4,28,4,11,8112,340.9,278.6,34,14,4,8112,371.4,325.8,80,14,4,8005,440.2,300.4,22,4,7,8008,255.5,194.5,145,7,4,9923,304.4,338.7,267,3,4,8214,278.79999999999995,139.6,25,4,3,8229,282.4,209.2
36,12,4,8437,437.70000000000005,366.6,98,4,12,8437,363.6,220.2,104,11,4,8230,242.4,253.8,32,11,4,8439,315.6,288.1,45,4,14,8112,403.2,238.39999999999998,131,4,14,8230,391.8,379.2,67,7,4,8005,271.4,318.9,145,4,7,9923,290.8,375.3,21,4,14,8229,255,206.3,89,3,4,8439,290.8,264.7
86,4,14,8010,459.29999999999995,217.60000000000002,122,12,4,8010,477.20000000000005,287.9,104,4,11,8112,302.8,301.5,19,14,11,8005,315.3,349.5,142,4,14,8112,394.5,185.3,238,4,14,8112,488.70000000000005,335.59999999999997,21,7,4,8128,286,232.7,81,7,4,8010,288.2,222.5,17,14,4,8128,264.8,129.8,147,14,4,8128,249,184.2
24,12,4,8010,425.4,298.8,875,4,12,8010,458.1,330.3,11,4,11,9923,218.39999999999998,237.6,427,4,11,8214,330.5,303.1,127,4,12,8112,355.9,259,99,12,4,8128,422.1,353.3,145,7,4,9923,264.4,296.3,119,1,4,9923,244.2,267.6,412,14,4,8439,225.3,176.2,89,14,4,8439,245.5,175
164,12,4,8437,426,208.89999999999998,82,4,12,8010,419.6,272,19,11,4,8005,198.4,253.5,11,4,11,9923,345.1,416.8,3,4,12,8439,303.9,256.8,15,4,7,8008,319.79999999999995,254.7,22,7,4,8008,286.2,265.5,53,4,14,8465,202.6,165.9,40,14,4,8214,232.2,250.1,91,4,14,8112,212.2,314.8
266,4,12,8010,473.5,252.7,10,4,12,8005,487.29999999999995,226.10000000000002,35,11,14,9923,298.8,242.3,141,4,11,8010,263.20000000000005,232.3,1,14,4,8112,465,250,38,14,4,8112,462,263.2,29,7,4,9923,342.6,335.9,21,7,4,8128,303.1,257,412,14,4,8439,230.4,185.60000000000002,267,4,14,8214,260.20000000000005,163.3
150,4,12,8021,479.4,265,82,4,12,8010,483.1,267.4,64,11,4,8010,295.8,268.1,104,11,4,8230,265.7,214.8,1,4,14,8124,346.6,170.60000000000002,517,4,12,8021,407.29999999999995,197.1,145,7,4,8005,307.2,263.8,202,7,4,8128,294.79999999999995,258.7,267,4,14,8214,285.6,150.3,99,4,14,8465,291.9,152.6
516,4,12,8437,362.3,245,122,4,12,8010,274.3,338.4,59,11,4,8112,201.5,236.4,11,11,14,9923,269.9,236.8,161,14,4,8229,353.20000000000005,298.1,45,14,4,8112,306.4,176.8,202,7,4,8021,258.3,276.1,222,4,7,8005,314,240.7,412,4,14,8439,244,164.5,147,4,3,8214,190.29999999999998,161.60000000000002
420,12,4,8010,565.2,435.2,24,4,12,8010,476,334.5,141,11,4,8010,312.2,244.6,11,4,11,8010,292.79999999999995,210.8,238,4,14,8112,520.5,306.4,67,4,14,8112,398.1,219.39999999999998,145,4,7,9923,364.6,398.6,21,4,7,8229,263.29999999999995,264.4,117,14,4,8214,318.5,279.3,89,4,3,8439,275.6,202
24,4,12,8010,399.1,300.8,17,4,14,8005,367.70000000000005,269.29999999999995,35,11,14,8128,360.1,346.9,32,11,4,8010,297.3,283.3,80,14,4,8010,519,314.70000000000005,42,4,12,8021,448.8,264.6,145,7,4,9923,306,358.6,81,1,4,8010,243.7,202.3,22,4,14,8229,298.9,285.9,223,4,14,8439,249.7,156.6
105,4,14,8229,520.2,291.7,10,4,12,8005,411.7,216.1,36,11,4,8229,326.8,335,427,11,4,8214,287.6,219.7,22,4,12,8010,439.5,254.2,90,12,4,8214,365.1,217.89999999999998,21,7,4,8128,290.5,263.1,157,7,4,8010,283.4,241,99,14,4,8229,307.20000000000005,304.9,54,7,12,8465,244.2,183.8
62,12,4,8010,464.5,249.29999999999998,24,4,12,8010,431.4,213.8,20,4,11,8230,297.2,292.5,35,14,11,9923,293.29999999999995,248.3,11,14,4,9923,421.70000000000005,309.5,45,4,12,8112,368.7,348,51,7,4,8005,264.3,276.4,81,4,7,8010,298.5,384.40000000000003,89,4,14,8439,170.3,202.4,350,7,3,8229,246.5,313.3
23,12,4,8008,380.4,243.5,157,12,4,8010,546.2,482.70000000000005,121,4,11,8128,286.3,287,24,4,11,8010,313.4,316.7,127,14,4,8112,527.9,334.5,26,4,14,8128,427.79999999999995,224.3,18,7,4,9923,364,381.5,22,4,7,8229,271,288.8,34,14,4,8128,313.3,296.9,526,4,14,8439,205.9,220.3
24,12,7,9923,343.6,162,90,14,6,8214,526.1,317.7,134,11,4,8229,227.7,174.6,106,11,4,8005,216,233.2,14,4,14,8437,415.2,330.7,17,14,12,8005,582.1,370.4,517,4,7,8021,295,313.3,203,4,7,8005,347.5,355.70000000000005,526,4,21,8439,234.9,195.89999999999998,147,4,3,8214,275,249.2
